Risk_A,Risk_B,Risk_C,Risk_D,RiSk_E,Prob,Score,CONTROL_RISK,MONEY_Marks,Loss,label
2.508,0.5,1.0,0.676,0.4,0.2,2.4,0.4,2.0,0.0,1.0
0.0,0.966,1.0,0.188,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.102,0.046,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,6.48,3.6,7.05,0.4,0.2,4.4,0.4,6.0,0.0,1.0
0.0,0.016,1.0,0.0,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.0,0.166,1.0,0.59,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.44,2.964,1.0,26.97,0.4,0.2,3.2,0.4,6.0,0.0,1.0
5.1,7.218,2.2,3.116,0.4,0.2,4.2,0.4,4.0,0.0,1.0
5.04,6.63,2.2,2.936,0.4,0.2,4.2,0.4,4.0,0.0,1.0
2.388,0.198,1.0,0.386,0.4,0.2,2.4,0.4,2.0,0.0,0.0
3.258,6.462,1.0,0.884,0.4,0.2,3.6,0.4,2.0,0.0,1.0
9.228,24.084,1.0,0.192,0.8,0.4,4.0,1.2,2.0,1.0,1.0
3.282,3.052,1.0,6.258,0.4,0.4,3.6,0.8,6.0,0.0,1.0
0.436,0.07,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
0.0,0.168,1.0,0.0014,0.4,0.2,2.0,0.4,2.0,0.0,0.0
0.78,3.604,1.0,3.6,0.4,0.2,3.0,0.4,4.0,0.0,1.0
5.124,18.978,1.0,24.768,0.4,0.4,4.2,0.8,6.0,0.0,1.0
2.508,0.966,2.2,8.418,0.4,0.2,3.2,0.4,6.0,0.0,1.0
0.724,0.206,1.0,0.0,0.4,0.2,2.2,0.4,2.0,0.0,0.0
2.916,28.068,2.2,37.908,0.4,0.2,4.4,0.4,6.0,0.0,1.0
3.756,8.46,1.0,20.544,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.004,2.376,1.0,0.002,0.4,0.2,2.6,0.4,2.0,0.0,0.0
3.186,13.674,1.0,123.114,0.4,0.4,4.2,0.8,6.0,0.0,1.0
0.188,0.002,1.0,0.02,0.4,0.2,2.0,0.4,2.0,0.0,0.0
3.468,34.752,1.0,6.696,0.4,0.2,4.0,0.4,6.0,0.0,1.0
4.452,0.448,1.0,0.25,0.4,0.2,2.4,0.4,2.0,0.0,1.0
